"Fecha","Tipo de dólar","Precio de venta","Precio de compra"
"08/07/11","Informal","4.263",""
"11/07/11","Casas de cambio","4.150",""
"11/07/11","Informal","4.260",""
"12/07/11","Casas de cambio","4.155",""
"12/07/11","Informal","4.270",""
"13/07/11","Casas de cambio","4.155",""
"13/07/11","Informal","4.280",""
"14/07/11","Casas de cambio","4.155",""
"14/07/11","Informal","4.285",""
"15/07/11","Casas de cambio","4.155",""
"15/07/11","Informal","4.293",""
"18/07/11","Casas de cambio","4.155",""
"18/07/11","Informal","4.290",""
"19/07/11","Casas de cambio","4.155",""
"19/07/11","Informal","4.313",""
"20/07/11","Casas de cambio","4.160",""
"20/07/11","Informal","4.315",""
"21/07/11","Casas de cambio","4.165",""
"21/07/11","Informal","4.318",""
"22/07/11","Casas de cambio","4.165",""
"22/07/11","Informal","4.320",""
"25/07/11","Casas de cambio","4.165",""
"25/07/11","Informal","4.325",""
"26/07/11","Casas de cambio","4.165",""
"26/07/11","Informal","4.343",""
"27/07/11","Casas de cambio","4.165",""
"27/07/11","Informal","4.348",""
"28/07/11","Casas de cambio","4.170",""
"28/07/11","Informal","4.340",""
"29/07/11","Casas de cambio","4.170",""
"29/07/11","Informal","4.340",""
"01/08/11","Casas de cambio","4.170",""
"01/08/11","Informal","4.323",""
"02/08/11","Casas de cambio","4.170",""
"02/08/11","Informal","4.325",""
"03/08/11","Casas de cambio","4.175",""
"03/08/11","Informal","4.328",""
"04/08/11","Casas de cambio","4.180",""
"04/08/11","Informal","4.320",""
"05/08/11","Casas de cambio","4.180",""
"05/08/11","Informal","4.320",""
"08/08/11","Casas de cambio","4.180",""
"08/08/11","Informal","4.305",""
"09/08/11","Casas de cambio","4.180",""
"09/08/11","Informal","4.340",""
"10/08/11","Casas de cambio","4.185",""
"10/08/11","Informal","4.353",""
"11/08/11","Casas de cambio","4.190",""
"11/08/11","Informal","4.345",""
"12/08/11","Casas de cambio","4.190",""
"12/08/11","Informal","4.350",""
"15/08/11","Informal","4.335",""
"15/08/11","Casas de cambio","4.190",""
"16/08/11","Casas de cambio","4.190",""
"16/08/11","Informal","4.353",""
"17/08/11","Casas de cambio","4.190",""
"17/08/11","Informal","4.360",""
"18/08/11","Casas de cambio","4.195",""
"18/08/11","Informal","4.373",""
"19/08/11","Casas de cambio","4.200",""
"19/08/11","Informal","4.370",""
"23/08/11","Casas de cambio","4.205",""
"23/08/11","Informal","4.368",""
"24/08/11","Casas de cambio","4.210",""
"24/08/11","Informal","4.390",""
"25/08/11","Casas de cambio","4.210",""
"25/08/11","Informal","4.423",""
"26/08/11","Casas de cambio","4.210",""
"26/08/11","Informal","4.438",""
"29/08/11","Casas de cambio","4.215",""
"29/08/11","Informal","4.443",""
"30/08/11","Casas de cambio","4.220",""
"30/08/11","Informal","4.443",""
"31/08/11","Casas de cambio","4.220",""
"31/08/11","Informal","4.430",""
"01/09/11","Casas de cambio","4.240",""
"01/09/11","Informal","4.415",""
"02/09/11","Casas de cambio","4.245",""
"02/09/11","Informal","4.428",""
"05/09/11","Casas de cambio","4.250",""
"05/09/11","Informal","4.418",""
"06/09/11","Casas de cambio","4.250",""
"06/09/11","Informal","4.418",""
"07/09/11","Casas de cambio","4.250",""
"07/09/11","Informal","4.428",""
"08/09/11","Casas de cambio","4.240",""
"08/09/11","Informal","4.428",""
"09/09/11","Casas de cambio","4.240",""
"09/09/11","Informal","4.430",""
"12/09/11","Casas de cambio","4.240",""
"12/09/11","Informal","4.433",""
"13/09/11","Casas de cambio","4.240",""
"13/09/11","Informal","4.435",""
"14/09/11","Casas de cambio","4.240",""
"14/09/11","Informal","4.435",""
"15/09/11","Casas de cambio","4.240",""
"15/09/11","Informal","4.440",""
"16/09/11","Casas de cambio","4.240",""
"16/09/11","Informal","4.440",""
"19/09/11","Casas de cambio","4.240",""
"19/09/11","Informal","4.443",""
"20/09/11","Casas de cambio","4.230",""
"20/09/11","Informal","4.443",""
"21/09/11","Casas de cambio","4.230",""
"21/09/11","Informal","4.438",""
"22/09/11","Casas de cambio","4.230",""
"22/09/11","Informal","4.448",""
"23/09/11","Casas de cambio","4.230",""
"23/09/11","Informal","4.485",""
"26/09/11","Casas de cambio","4.240",""
"26/09/11","Informal","4.473",""
"27/09/11","Casas de cambio","4.235",""
"27/09/11","Informal","4.450",""
"28/09/11","Casas de cambio","4.240",""
"28/09/11","Informal","4.453",""
"29/09/11","Casas de cambio","4.240",""
"29/09/11","Informal","4.433",""
"30/09/11","Casas de cambio","4.240",""
"30/09/11","Informal","4.433",""
"03/10/11","Casas de cambio","4.240",""
"03/10/11","Informal","4.423",""
"04/10/11","Casas de cambio","4.235",""
"04/10/11","Informal","4.438",""
"05/10/11","Casas de cambio","4.240",""
"05/10/11","Informal","4.433",""
"06/10/11","Casas de cambio","4.245",""
"06/10/11","Informal","4.405",""
"07/10/11","Casas de cambio","4.245",""
"07/10/11","Informal","4.398",""
"11/10/11","Casas de cambio","4.245",""
"11/10/11","Informal","4.393",""
"12/10/11","Casas de cambio","4.240",""
"12/10/11","Informal","4.378",""
"13/10/11","Casas de cambio","4.245",""
"13/10/11","Informal","4.425",""
"14/10/11","Casas de cambio","4.245",""
"14/10/11","Informal","4.428",""
"17/10/11","Casas de cambio","4.250",""
"17/10/11","Informal","4.413",""
"18/10/11","Casas de cambio","4.250",""
"18/10/11","Informal","4.418",""
"19/10/11","Casas de cambio","4.260",""
"19/10/11","Informal","4.453",""
"20/10/11","Casas de cambio","4.260",""
"20/10/11","Informal","4.468",""
"21/10/11","Casas de cambio","4.265",""
"21/10/11","Informal","4.470",""
"24/10/11","Casas de cambio","4.265",""
"24/10/11","Informal","4.460",""
"25/10/11","Casas de cambio","4.265",""
"25/10/11","Informal","4.465",""
"26/10/11","Casas de cambio","4.265",""
"26/10/11","Informal","4.475",""
"27/10/11","Casas de cambio","4.265",""
"27/10/11","Informal","4.495",""
"28/10/11","Casas de cambio","4.265",""
"28/10/11","Informal","4.488",""
"31/10/11","Casas de cambio","4.265",""
"31/10/11","Informal","4.488",""
"01/11/11","Casas de cambio","4.270",""
"01/11/11","Informal","4.620",""
"02/11/11","Casas de cambio","4.270",""
"02/11/11","Informal","4.690",""
"03/11/11","Casas de cambio","4.275",""
"03/11/11","Informal","4.680",""
"04/11/11","Casas de cambio","4.275",""
"04/11/11","Informal","4.670",""
"07/11/11","Casas de cambio","4.280",""
"07/11/11","Informal","4.675",""
"08/11/11","Casas de cambio","4.280",""
"08/11/11","Informal","4.750",""
"09/11/11","Casas de cambio","4.285",""
"09/11/11","Informal","4.870",""
"10/11/11","Casas de cambio","4.285",""
"10/11/11","Informal","4.995",""
"11/11/11","Casas de cambio","4.290",""
"11/11/11","Informal","4.985",""
"14/11/11","Casas de cambio","4.290",""
"14/11/11","Informal","4.790",""
"15/11/11","Casas de cambio","4.295",""
"15/11/11","Informal","4.790",""
"16/11/11","Casas de cambio","4.295",""
"16/11/11","Informal","4.790",""
"17/11/11","Casas de cambio","4.290",""
"17/11/11","Informal","4.790",""
"18/11/11","Casas de cambio","4.285",""
"18/11/11","Informal","4.790",""
"21/11/11","Casas de cambio","4.285",""
"21/11/11","Informal","4.790",""
"22/11/11","Casas de cambio","4.280",""
"22/11/11","Informal","4.790",""
"23/11/11","Casas de cambio","4.280",""
"23/11/11","Informal","4.790",""
"24/11/11","Casas de cambio","4.280",""
"24/11/11","Informal","4.790",""
"25/11/11","Casas de cambio","4.280",""
"25/11/11","Informal","4.790",""
